"date","Stock","Value","Sector"
2000-01-14,"AAPL",0.897263519546147,"Tech"
2000-01-14,"MSFT",0.963002651251668,"Tech"
2000-01-14,"NVDA",0.93858050572574,"Tech"
2000-01-14,"BP",0.940488416346144,"Energy"
2000-01-14,"SHEL",1.03053479540336,"Energy"
2000-01-14,"XOM",1.06943360157384,"Energy"
2000-01-14,"HSBC",0.903625321341115,"Finance"
2000-01-14,"BCS",0.901515342009789,"Finance"
2000-01-14,"JPM",1.01945770513301,"Finance"
2000-01-14,"GS",0.96956840418769,"Finance"
2000-01-14,"JNJ",1.01627080392981,"Healthcare"
2000-01-14,"PFE",1.16078456209606,"Healthcare"
2000-01-14,"UNH",1.14651145480544,"Healthcare"
2000-01-18,"AAPL",0.92853082878483,"Tech"
2000-01-18,"MSFT",0.989276322240218,"Tech"
2000-01-18,"NVDA",0.978641313409981,"Tech"
2000-01-18,"BP",0.947928189277129,"Energy"
2000-01-18,"SHEL",1.01263178084294,"Energy"
2000-01-18,"XOM",1.08220299189047,"Energy"
2000-01-18,"HSBC",0.893899162670221,"Finance"
2000-01-18,"BCS",0.848484874759971,"Finance"
2000-01-18,"JPM",0.979783617531382,"Finance"
2000-01-18,"GS",0.983723067915837,"Finance"
2000-01-18,"JNJ",0.990508076458385,"Healthcare"
2000-01-18,"PFE",1.14509891291873,"Healthcare"
2000-01-18,"UNH",1.0976746721437,"Healthcare"
2000-01-19,"AAPL",0.951982110421996,"Tech"
2000-01-19,"MSFT",0.917962732124134,"Tech"
2000-01-19,"NVDA",0.96929025286287,"Tech"
2000-01-19,"BP",0.952178230991211,"Energy"
2000-01-19,"SHEL",1.0063163836235,"Energy"
2000-01-19,"XOM",1.09257869179344,"Energy"
2000-01-19,"HSBC",0.863837317745755,"Finance"
2000-01-19,"BCS",0.818722907031612,"Finance"
2000-01-19,"JPM",1.02290775972148,"Finance"
2000-01-19,"GS",0.991507301758087,"Finance"
2000-01-19,"JNJ",0.993898294920743,"Healthcare"
2000-01-19,"PFE",1.16078456209606,"Healthcare"
2000-01-19,"UNH",1.10697648163799,"Healthcare"
2000-01-20,"AAPL",1.01395856815134,"Tech"
2000-01-20,"MSFT",0.90938372547952,"Tech"
2000-01-20,"NVDA",0.966624187728851,"Tech"
2000-01-20,"BP",0.929862522341995,"Energy"
2000-01-20,"SHEL",0.983158027411073,"Energy"
2000-01-20,"XOM",1.06863622404016,"Energy"
2000-01-20,"HSBC",0.818744600918174,"Finance"
2000-01-20,"BCS",0.787879258203478,"Finance"
2000-01-20,"JPM",1.02204551664403,"Finance"
2000-01-20,"GS",0.974442284275215,"Finance"
2000-01-20,"JNJ",0.997287530307404,"Healthcare"
2000-01-20,"PFE",1.14166711539004,"Healthcare"
2000-01-20,"UNH",1.13488329364614,"Healthcare"
2000-01-21,"AAPL",0.994416615390565,"Tech"
2000-01-21,"MSFT",0.890080665193856,"Tech"
2000-01-21,"NVDA",0.955939677963931,"Tech"
2000-01-21,"BP",0.956428836790253,"Energy"
2000-01-21,"SHEL",1.0063163836235,"Energy"
2000-01-21,"XOM",1.08539528383347,"Energy"
2000-01-21,"HSBC",0.836427753598722,"Finance"
2000-01-21,"BCS",0.84036823459413,"Finance"
2000-01-21,"JPM",1.00652114514406,"Finance"
2000-01-21,"GS",0.971607739211105,"Finance"
2000-01-21,"JNJ",0.97491510322131,"Healthcare"
2000-01-21,"PFE",1.09999992509718,"Healthcare"
2000-01-21,"UNH",1.08604614204433,"Healthcare"
2000-01-24,"AAPL",0.949190311489524,"Tech"
2000-01-24,"MSFT",0.868632557911758,"Tech"
2000-01-24,"NVDA",0.913223138085491,"Tech"
2000-01-24,"BP",0.952178230991211,"Energy"
2000-01-24,"SHEL",0.990535014604261,"Energy"
2000-01-24,"XOM",1.07581818545982,"Energy"
2000-01-24,"HSBC",0.842616846925091,"Finance"
2000-01-24,"BCS",0.845238530842088,"Finance"
2000-01-24,"JPM",1.00738330496931,"Finance"
2000-01-24,"GS",0.926960107754585,"Finance"
2000-01-24,"JNJ",0.907796593118404,"Healthcare"
2000-01-24,"PFE",1.07843140845015,"Healthcare"
2000-01-24,"UNH",1.02674409735074,"Healthcare"
2000-01-25,"AAPL",1.00279123025112,"Tech"
2000-01-25,"MSFT",0.88203777263071,"Tech"
2000-01-25,"NVDA",0.905204610124431,"Tech"
2000-01-25,"BP",0.933050222853045,"Energy"
2000-01-25,"SHEL",0.981053479540336,"Energy"
2000-01-25,"XOM",1.07342416122916,"Energy"
2000-01-25,"HSBC",0.834659549560727,"Finance"
2000-01-25,"BCS",0.805195086713973,"Finance"
2000-01-25,"JPM",1.02980795215063,"Finance"
2000-01-25,"GS",0.951055959438038,"Finance"
2000-01-25,"JNJ",0.924745473509878,"Healthcare"
2000-01-25,"PFE",1.09411755697962,"Healthcare"
2000-01-25,"UNH",1.02674409735074,"Healthcare"
